Variable,Unidades,Tiempo de exposicion (horas),Year,Promedio,Suma,No. de datos,Representatividad Temporal,Excedencias limite actual,Porcentaje excedencias limite actual,Mediana,Percentil 98,Maximo,Minimo,Dias de excedencias,Nombre del Departamento,Nombre del Municipio,Tipo de Estacion
DViento,deg,1,2011,256.8,321637.5091,1411,16.0,0,0.0,244.2,350.8,359.5,1.3,0,ANTIOQUIA,GIRARDOTA,Fija
DViento,deg,24,2011,257.4,14984.01,59,16.0,0,0.0,257.9,304.2,336.8,99.7,0,ANTIOQUIA,GIRARDOTA,Fija
PLiquida,mm,1,2011,4.0,293.5,74,1.0,0,0.0,2.8,12.8,23.0,1.5,0,ANTIOQUIA,GIRARDOTA,Fija
P,mmHg,1,2011,645.9,2917013.928,4516,52.0,0,0.0,646.1,648.1,649.8,641.6,0,ANTIOQUIA,GIRARDOTA,Fija
P,mmHg,24,2011,645.9,121434.69,188,52.0,0,0.0,645.9,647.2,647.9,644.0,0,ANTIOQUIA,GIRARDOTA,Fija
PST,ugm3,24,2011,72.0,6353.05,84,69.0,0,0.0,73.4,124.8,155.7,21.1,0,ANTIOQUIA,GIRARDOTA,Fija
RGlobal,Wm2,1,2011,158.9,224195.8715,1411,16.0,0,0.0,6.5,777.3,946.6,4.0,0,ANTIOQUIA,GIRARDOTA,Fija
RGlobal,Wm2,24,2011,158.9,9375.37,59,16.0,0,0.0,157.0,227.4,233.4,105.8,0,ANTIOQUIA,GIRARDOTA,Fija
TAire2,Celsius,1,2011,21.2,14682.27347,694,8.0,0,0.0,20.2,27.1,29.3,16.8,0,ANTIOQUIA,GIRARDOTA,Fija
TAire2,Celsius,24,2011,21.2,613.55,29,8.0,0,0.0,21.2,22.6,23.0,19.4,0,ANTIOQUIA,GIRARDOTA,Fija
VViento,ms,1,2011,2.0,999.982934,509,6.0,0,0.0,1.8,4.0,4.7,1.0,0,ANTIOQUIA,GIRARDOTA,Fija
PST,ugm3,24,2011,87.0,7582.23,83,68.0,0,0.0,87.0,156.7,176.7,25.1,0,ANTIOQUIA,ITAGUI,Fija
DViento,deg,1,2011,239.0,273122.2769,1316,15.0,0,0.0,229.2,326.8,358.4,1.3,0,ANTIOQUIA,ITAGUI,Fija
DViento,deg,24,2011,239.4,12875.08,54,15.0,0,0.0,243.0,301.9,328.1,137.5,0,ANTIOQUIA,ITAGUI,Fija
PLiquida,mm,1,2011,2.0,45.288,23,0.0,0,0.0,1.6,3.6,3.8,1.1,0,ANTIOQUIA,ITAGUI,Fija
RGlobal,Wm2,1,2011,147.0,193596.2668,1317,15.0,0,0.0,10.1,746.9,894.3,6.0,0,ANTIOQUIA,ITAGUI,Fija
RGlobal,Wm2,24,2011,145.8,7870.88,54,15.0,0,0.0,146.4,208.7,217.3,85.2,0,ANTIOQUIA,ITAGUI,Fija
TAire2,Celsius,1,2011,20.0,12268.00817,614,7.0,0,0.0,19.1,26.6,28.5,15.4,0,ANTIOQUIA,ITAGUI,Fija
TAire2,Celsius,24,2011,20.0,499.56,25,7.0,0,0.0,20.3,21.7,21.8,17.9,0,ANTIOQUIA,ITAGUI,Fija
VViento,ms,1,2011,1.7,1746.809457,1001,11.0,0,0.0,1.6,3.9,5.2,1.0,0,ANTIOQUIA,ITAGUI,Fija
VViento,ms,24,2011,1.7,57.11,33,9.0,0,0.0,1.7,2.2,2.2,1.4,0,ANTIOQUIA,ITAGUI,Fija
HAire,perc,24,2011,73.5,18748.3,255,70.0,0,0.0,75.3,88.4,92.8,46.1,0,ANTIOQUIA,SABANETA,Fija
PLiquida,mm,1,2011,0.4,1949.0,5517,63.0,0,0.0,0.0,4.1,53.2,0.0,0,ANTIOQUIA,SABANETA,Fija
PLiquida,mm,24,2011,8.4,1917.4,227,62.0,0,0.0,4.4,41.6,64.6,0.0,0,ANTIOQUIA,SABANETA,Fija
TAire,Celsius,1,2011,20.9,129277.5342,6191,71.0,0,0.0,20.1,28.1,30.4,15.5,0,ANTIOQUIA,SABANETA,Fija
TAire,Celsius,24,2011,20.9,5322.67,255,70.0,0,0.0,20.8,23.4,23.8,18.3,0,ANTIOQUIA,SABANETA,Fija
VViento,ms,1,2011,1.1,6585.484767,6191,71.0,0,0.0,0.9,3.7,7.2,0.0,0,ANTIOQUIA,SABANETA,Fija
VViento,ms,24,2011,1.1,270.55,255,70.0,0,0.0,1.0,1.7,2.0,0.4,0,ANTIOQUIA,SABANETA,Fija
HAire,perc,1,2011,73.5,454767.8771,6191,71.0,0,0.0,76.4,100.0,100.0,19.5,0,ANTIOQUIA,SABANETA,Fija
P,mmHg,1,2011,639.1,3626685.886,5675,65.0,0,0.0,638.9,642.7,644.3,635.0,0,ANTIOQUIA,MEDELLIN,Fija
P,mmHg,24,2011,639.0,152092.86,238,65.0,0,0.0,638.5,641.7,642.5,636.6,0,ANTIOQUIA,MEDELLIN,Fija
P,mmHg,1,2011,639.4,218673.2609,342,4.0,0,0.0,639.6,641.4,641.8,635.4,0,ANTIOQUIA,MEDELLIN,Fija
P,mmHg,24,2011,639.4,7672.97,12,3.0,0,0.0,639.3,640.3,640.4,638.5,0,ANTIOQUIA,MEDELLIN,Fija
PST,ugm3,24,2011,83.0,12013.73,143,79.0,0,0.0,82.6,113.9,118.8,46.5,0,CUNDINAMARCA,COGUA,Fija
PST,ugm3,24,2011,91.5,13138.94,142,78.0,0,0.0,94.2,117.4,127.1,59.1,0,CUNDINAMARCA,ZIPAQUIRA,Fija
PST,ugm3,24,2011,48.9,7243.07,143,79.0,0,0.0,52.8,73.9,83.5,24.7,0,CUNDINAMARCA,SOACHA,Fija
PST,ugm3,24,2011,55.3,8377.15,143,79.0,0,0.0,57.5,103.8,107.3,16.1,0,CUNDINAMARCA,MADRID,Fija
PST,ugm3,24,2011,83.3,12157.49,143,79.0,0,0.0,88.6,110.5,117.1,33.7,0,CUNDINAMARCA,MOSQUERA,Fija
PST,ugm3,24,2011,80.0,11837.57,143,79.0,0,0.0,83.4,125.0,134.1,37.1,0,CUNDINAMARCA,NEMOCON,Fija
NO,ugm3,1,2011,38.3,295089.8565,7713,88.0,0,0.0,25.6,163.2,323.8,1.3,0,SANTANDER,BUCARAMANGA,Fija
P,mmHg,1,2011,678.3,4897715.7,7221,82.0,0,0.0,678.3,681.2,683.9,674.2,0,SANTANDER,BUCARAMANGA,Fija
P,mmHg,24,2011,678.3,200769.29,296,81.0,0,0.0,678.3,680.4,682.2,675.9,0,SANTANDER,BUCARAMANGA,Fija
VViento,ms,1,2011,0.8,6357.8,7964,91.0,0,0.0,0.6,3.0,7.4,0.0,0,VALLE DEL CAUCA,CALI,Fija
VViento,ms,24,2011,0.8,259.55,325,89.0,0,0.0,0.8,1.3,1.5,0.4,0,VALLE DEL CAUCA,CALI,Fija
PM10,ugm3,24,2011,17.5,1138.19,65,53.0,0,0.0,17.9,32.6,37.5,3.0,0,CESAR,LA PAZ,Fija
DViento,deg,1,2011,301.5,2144204.0,8729,100.0,0,0.0,285.0,357.0,359.0,0.0,0,SANTANDER,BUCARAMANGA,Fija
DViento,deg,24,2011,297.8,107751.22,364,100.0,0,0.0,298.6,344.3,354.7,9.8,0,SANTANDER,BUCARAMANGA,Fija
NO,ugm3,1,2011,22.6,186565.9609,8251,94.0,0,0.0,13.5,99.8,286.0,1.3,0,SANTANDER,BUCARAMANGA,Fija
PLiquida,mm,1,2011,0.2,1474.4,8721,100.0,0,0.0,0.0,2.0,47.5,0.0,0,SANTANDER,BUCARAMANGA,Fija
PLiquida,mm,24,2011,4.1,1474.4,364,100.0,0,0.0,0.3,32.9,79.9,0.0,0,SANTANDER,BUCARAMANGA,Fija
P,mmHg,1,2011,679.9,5879187.7,8647,99.0,0,0.0,680.1,683.9,686.9,672.7,0,SANTANDER,BUCARAMANGA,Fija
P,mmHg,24,2011,679.9,244088.16,359,98.0,0,0.0,680.1,683.0,684.4,674.5,0,SANTANDER,BUCARAMANGA,Fija
TAire2,Celsius,1,2011,20.5,178624.8,8729,100.0,0,0.0,19.8,26.1,28.1,15.8,0,SANTANDER,BUCARAMANGA,Fija
TAire2,Celsius,24,2011,20.5,7448.77,364,100.0,0,0.0,20.5,22.1,22.6,17.0,0,SANTANDER,BUCARAMANGA,Fija
VViento,ms,1,2011,1.4,12501.6,8729,100.0,0,0.0,1.2,3.7,4.8,0.0,0,SANTANDER,BUCARAMANGA,Fija
VViento,ms,24,2011,1.4,521.39,364,100.0,0,0.0,1.5,1.8,2.0,0.5,0,SANTANDER,BUCARAMANGA,Fija
NO,ugm3,1,2011,15.0,110099.658,7350,84.0,0,0.0,6.7,70.2,174.0,1.3,0,SANTANDER,BUCARAMANGA,Fija
TAire2,Celsius,1,2011,23.3,185129.1,7953,91.0,0,0.0,22.9,28.4,30.7,18.2,0,SANTANDER,BUCARAMANGA,Fija
TAire2,Celsius,24,2011,23.3,7707.63,331,91.0,0,0.0,23.2,25.0,25.7,19.4,0,SANTANDER,BUCARAMANGA,Fija
DViento,deg,1,2011,183.3,1590248.0,8687,99.0,0,0.0,195.0,341.0,359.0,0.0,0,SANTANDER,BUCARAMANGA,Fija
DViento,deg,24,2011,186.0,67466.11,361,99.0,0,0.0,183.1,261.5,354.4,43.7,0,SANTANDER,BUCARAMANGA,Fija
PLiquida,mm,1,2011,0.2,1306.1,8686,99.0,0,0.0,0.0,1.8,36.6,0.0,0,SANTANDER,BUCARAMANGA,Fija
PLiquida,mm,24,2011,3.6,1306.1,361,99.0,0,0.0,0.2,28.0,82.4,0.0,0,SANTANDER,BUCARAMANGA,Fija
P,mmHg,1,2011,688.9,5964207.84,8658,99.0,0,0.0,688.9,691.5,693.2,684.7,0,SANTANDER,BUCARAMANGA,Fija
P,mmHg,24,2011,688.9,246616.72,358,98.0,0,0.0,688.8,690.6,691.5,686.8,0,SANTANDER,BUCARAMANGA,Fija
TAire2,Celsius,1,2011,24.3,211054.3,8686,99.0,0,0.0,23.7,30.0,32.0,18.7,0,SANTANDER,BUCARAMANGA,Fija
TAire2,Celsius,24,2011,24.3,8770.37,361,99.0,0,0.0,24.3,26.1,26.8,20.4,0,SANTANDER,BUCARAMANGA,Fija
VViento,ms,1,2011,1.3,11417.63,8687,99.0,0,0.0,0.9,3.7,5.8,0.0,0,SANTANDER,BUCARAMANGA,Fija
VViento,ms,24,2011,1.3,473.89,361,99.0,0,0.0,1.3,2.1,2.4,0.5,0,SANTANDER,BUCARAMANGA,Fija
DViento,deg,1,2011,161.2,1135413.0,7826,89.0,0,0.0,170.0,338.0,359.0,0.0,0,SANTANDER,FLORIDABLANCA,Fija
DViento,deg,24,2011,153.4,48260.95,324,89.0,0,0.0,162.6,220.5,250.8,0.4,0,SANTANDER,FLORIDABLANCA,Fija
PLiquida,mm,1,2011,0.4,3071.5,8594,98.0,0,0.0,0.0,4.0,59.0,0.0,0,SANTANDER,FLORIDABLANCA,Fija
PLiquida,mm,24,2011,8.6,3064.5,357,98.0,0,0.0,0.5,70.3,180.5,0.0,0,SANTANDER,FLORIDABLANCA,Fija
P,mmHg,1,2011,694.6,5941947.37,8554,98.0,0,0.0,694.6,697.2,699.6,690.5,0,SANTANDER,FLORIDABLANCA,Fija
P,mmHg,24,2011,694.6,245207.91,353,97.0,0,0.0,694.7,696.1,697.0,692.5,0,SANTANDER,FLORIDABLANCA,Fija
TAire2,Celsius,1,2011,25.1,176143.3,7024,80.0,0,0.0,23.8,33.4,37.3,18.2,0,SANTANDER,FLORIDABLANCA,Fija
TAire2,Celsius,24,2011,25.1,7298.69,291,80.0,0,0.0,25.1,26.9,27.4,20.9,0,SANTANDER,FLORIDABLANCA,Fija
VViento,ms,1,2011,0.6,5309.58,8211,94.0,0,0.0,0.5,2.5,6.5,0.0,0,SANTANDER,FLORIDABLANCA,Fija
VViento,ms,24,2011,0.6,220.39,340,93.0,0,0.0,0.6,1.0,1.3,0.3,0,SANTANDER,FLORIDABLANCA,Fija
PLiquida,mm,24,2011,10.8,290.96,27,7.0,0,0.0,4.6,42.9,50.8,0.0,0,ANTIOQUIA,AMAGA,Indicativa
VViento,ms,24,2011,0.4,12.13,27,7.0,0,0.0,0.4,0.9,0.9,0.1,0,ANTIOQUIA,AMAGA,Indicativa
PLiquida,mm,24,2011,1.9,52.3,27,7.0,0,0.0,0.3,11.9,15.7,0.0,0,ANTIOQUIA,BARBOSA,Indicativa
VViento,ms,24,2011,1.4,37.66,26,7.0,0,0.0,1.5,2.3,2.4,0.2,0,ANTIOQUIA,BARBOSA,Indicativa
PLiquida,mm,24,2011,2.6,76.5,29,8.0,0,0.0,0.0,15.7,17.8,0.0,0,ANTIOQUIA,MEDELLIN,Indicativa
PLiquida,mm,24,2011,2.2,37.79,17,5.0,0,0.0,0.2,12.4,14.7,0.0,0,ANTIOQUIA,BELLO,Indicativa
VViento,ms,24,2011,0.6,9.59,17,5.0,0,0.0,0.5,0.8,0.8,0.3,0,ANTIOQUIA,BELLO,Indicativa
PLiquida,mm,24,2011,5.5,205.08,37,10.0,0,0.0,1.8,23.7,24.6,0.0,0,ANTIOQUIA,COPACABANA,Indicativa
VViento,ms,24,2011,0.6,21.95,37,10.0,0,0.0,0.6,0.9,0.9,0.2,0,ANTIOQUIA,COPACABANA,Indicativa
DViento,deg,24,2011,298.4,68256.63,282,77.0,0,0.0,285.7,347.5,356.2,1.1,0,BOGOTA,BOGOTA,Fija
